Code,Course,Sec,Description,Mode of,Book,HR,CR,Days,Time,Room,Professor
4772,ASIAN 390.19,2,Asian Amer Queerness,In-Person,,3,3,W,09:10-12:00,HN  C111,"Magpantay, Glenn"
321,ASTRO 101.00,1,Cncpts&Lab Exer:Astr,In-Person,,5,4,M,11:10-12:00,HN ASSEM,"Abranyos, Yonatan"
,,,,,,,,M,12:10-14:00,HN  C115,"Cruz, Kelle"
,,,,,,,,W,11:10-12:00,HN ASSEM,
,,,,,,,,TH,11:10-12:00,HN ASSEM,
322,ASTRO 101.00,2,Cncpts&Lab Exer:Astr,In-Person,,5,4,M,11:10-12:00,HN ASSEM,"Abranyos, Yonatan"
,,,,,,,,M,15:10-17:00,HN  C115,"Cruz, Kelle"
,,,,,,,,W,11:10-12:00,HN ASSEM,
,,,,,,,,TH,11:10-12:00,HN ASSEM,
323,ASTRO 101.00,3,Cncpts&Lab Exer:Astr,In-Person,,5,4,M,11:10-12:00,HN ASSEM,"Abranyos, Yonatan"
,,,,,,,,W,12:10-14:00,HN  C115,"Cruz, Kelle"
,,,,,,,,W,11:10-12:00,HN ASSEM,
,,,,,,,,TH,11:10-12:00,HN ASSEM,
324,ASTRO 101.00,4,Cncpts&Lab Exer:Astr,In-Person,,5,4,M,11:10-12:00,HN ASSEM,"Abranyos, Yonatan"
,,,,,,,,W,15:10-17:00,HN  C115,"Cruz, Kelle"
,,,,,,,,W,11:10-12:00,HN ASSEM,
,,,,,,,,TH,11:10-12:00,HN ASSEM,
325,ASTRO 101.00,5,Cncpts&Lab Exer:Astr,In-Person,,5,4,M,11:10-12:00,HN ASSEM,"Abranyos, Yonatan"
,,,,,,,,W,11:10-12:00,HN ASSEM,"Cruz, Kelle"
,,,,,,,,TH,12:10-14:00,HN  C115,
,,,,,,,,TH,11:10-12:00,HN ASSEM,
326,ASTRO 101.00,6,Cncpts&Lab Exer:Astr,In-Person,,5,4,M,11:10-12:00,HN ASSEM,"Abranyos, Yonatan"
,,,,,,,,W,11:10-12:00,HN ASSEM,"Cruz, Kelle"
,,,,,,,,TH,15:10-17:00,HN  C115,
,,,,,,,,TH,11:10-12:00,HN ASSEM,
330,ASTRO 101.00,53,Cncpts&Lab Exer:Astr,In-Person,,5,4,M,17:35-18:50,HW  714,"Abranyos, Yonatan"
,,,,,,,,W,17:35-18:50,HW  714,
,,,,,,,,SA,10:10-12:00,HN  C115,
341,BIOL 102.00,1,Principles Of Biol 2,In-Person,,7,4.5,TU,08:00-08:50,HN  C114,"Jaeger, Richard"
,,,,,,,,TU,17:35-18:50,HN ASSEM,"Petrillo, Adrienne"
,,,,,,,,TU,09:00-12:00,HN  812,"Lahiji, Armin"
,,,,,,,,TH,17:35-18:50,HN ASSEM,
342,BIOL 102.00,2,Principles Of Biol 2,In-Person,,7,4.5,TU,08:00-08:50,HN  C114,"Petrillo, Adrienne"
